transaction_id,sender_id,receiver_id,amount,timestamp
TXN_REG_1,ACC_1120,ACC_5456,4442.02,2026-01-11 11:48:08
TXN_REG_2,ACC_1169,ACC_6982,3566.29,2026-01-17 01:31:24
TXN_REG_3,ACC_9553,ACC_1079,2162.71,2026-01-14 06:34:50
TXN_REG_4,ACC_2665,ACC_4321,1292.47,2026-01-23 06:17:33
TXN_REG_5,ACC_2862,ACC_9654,4627.89,2026-01-05 04:35:02
TXN_REG_6,ACC_4357,ACC_6368,2537.05,2026-01-14 12:55:10
TXN_REG_7,ACC_8528,ACC_3817,2918.2,2026-01-25 07:11:45
TXN_REG_8,ACC_4946,ACC_8961,630.16,2026-01-24 16:11:11
TXN_REG_9,ACC_8942,ACC_8543,2898.92,2026-01-18 02:17:56
TXN_REG_10,ACC_5851,ACC_3436,2488.14,2026-01-17 13:52:31
