transaction_id,sender_id,receiver_id,amount,timestamp
TXN_REG_1,ACC_7204,ACC_7244,656.61,2026-01-22 20:13:23
TXN_REG_2,ACC_7783,ACC_3140,1285.32,2026-01-09 22:13:29
TXN_REG_3,ACC_7740,ACC_2759,80.05,2026-01-06 20:28:30
TXN_REG_4,ACC_6786,ACC_7854,4722.78,2026-01-29 20:39:18
TXN_REG_5,ACC_7194,ACC_8638,1826.68,2026-01-26 00:14:25
TXN_REG_6,ACC_5781,ACC_3557,837.27,2026-01-20 09:53:42
TXN_REG_7,ACC_5256,ACC_8452,324.76,2026-01-15 23:37:57
TXN_REG_8,ACC_6854,ACC_6209,1153.37,2026-01-02 20:40:55
TXN_REG_9,ACC_5873,ACC_4246,4711.69,2026-01-27 02:02:03
TXN_REG_10,ACC_4608,ACC_7418,4077.77,2026-01-08 06:56:48
TXN_REG_11,ACC_7887,ACC_4368,4343.45,2026-01-24 01:29:17
TXN_REG_12,ACC_5038,ACC_7339,262.16,2026-01-31 17:17:00
TXN_REG_13,ACC_2353,ACC_4730,3096.04,2026-01-17 14:18:25
TXN_REG_14,ACC_6743,ACC_8441,3805.32,2026-01-21 21:58:55
TXN_REG_15,ACC_5927,ACC_6619,2976.73,2026-01-01 18:21:00
TXN_REG_16,ACC_9139,ACC_1059,4608.63,2026-01-11 05:34:25
TXN_REG_17,ACC_8789,ACC_9611,4891.19,2026-01-24 01:32:00
TXN_REG_18,ACC_1338,ACC_3397,4576.75,2026-01-25 16:09:03
TXN_REG_19,ACC_2541,ACC_1767,2758.37,2026-01-02 16:33:08
TXN_REG_20,ACC_9425,ACC_9808,3069.39,2026-01-12 15:54:03
TXN_REG_21,ACC_7843,ACC_2804,1058.68,2026-01-03 12:21:03
TXN_REG_22,ACC_3652,ACC_3912,64.71,2026-01-01 07:07:19
TXN_REG_23,ACC_8297,ACC_2788,3864.07,2026-01-12 03:19:37
TXN_REG_24,ACC_6909,ACC_9694,2673.08,2026-01-21 15:14:13
TXN_REG_25,ACC_4770,ACC_1620,2540.01,2026-01-02 10:13:53
TXN_REG_26,ACC_5075,ACC_6297,4518.82,2026-01-07 12:49:57
TXN_REG_27,ACC_5993,ACC_8453,4752.35,2026-01-30 21:16:48
TXN_REG_28,ACC_5885,ACC_2280,3697.53,2026-01-04 21:13:55
TXN_REG_29,ACC_8789,ACC_8230,4247.62,2026-01-08 11:58:09
TXN_REG_30,ACC_2171,ACC_2143,2002.11,2026-01-26 23:25:02
TXN_REG_31,ACC_8235,ACC_2927,4029.58,2026-01-10 16:01:05
TXN_REG_32,ACC_4079,ACC_7274,615.7,2026-01-25 13:26:41
TXN_REG_33,ACC_9011,ACC_5603,626.73,2026-01-14 17:39:28
TXN_REG_34,ACC_6472,ACC_5565,2206.3,2026-01-15 01:19:24
TXN_REG_35,ACC_8927,ACC_6061,2400.19,2026-01-26 17:23:23
TXN_REG_36,ACC_3301,ACC_9772,4587.38,2026-01-27 20:10:26
TXN_REG_37,ACC_8698,ACC_5846,2277.31,2026-01-02 17:57:44
TXN_REG_38,ACC_5062,ACC_5458,2919.9,2026-01-29 05:28:51
TXN_REG_39,ACC_8812,ACC_1867,4250.26,2026-01-12 23:06:36
TXN_REG_40,ACC_3239,ACC_4354,3681.81,2026-01-14 07:02:51
TXN_REG_41,ACC_4796,ACC_1400,673.09,2026-01-31 23:07:48
TXN_REG_42,ACC_4575,ACC_6976,2434.73,2026-01-18 14:11:23
TXN_REG_43,ACC_6068,ACC_8242,1951.78,2026-01-26 21:12:10
TXN_REG_44,ACC_2286,ACC_6177,3388.81,2026-01-15 16:21:30
TXN_REG_45,ACC_5689,ACC_8844,2487.68,2026-01-03 19:15:45
TXN_REG_46,ACC_6762,ACC_3453,2642.23,2026-01-13 23:11:44
TXN_REG_47,ACC_8950,ACC_4978,4818.08,2026-01-27 07:12:02
TXN_REG_48,ACC_6944,ACC_2147,2017.95,2026-01-29 05:19:52
TXN_REG_49,ACC_1040,ACC_2232,410.82,2026-01-19 21:35:04
TXN_REG_50,ACC_1007,ACC_1852,1146.53,2026-01-24 04:07:35
